"$R1 [mm]","$R2 [mm]","$R3 [mm]","$R4 [mm]","Freq [GHz]","dB(St(1,1)) []"
0.8,0.95,1.75,2,31.17,-6.50117177137393
0.8,0.95,1.75,2,31.18,-6.52053872567016
0.8,0.95,1.75,2,31.19,-6.53973362645398
0.8,0.95,1.75,2,31.2,-6.55875825897877
0.8,0.95,1.75,2,31.21,-6.57761477668756
0.8,0.95,1.75,2,31.22,-6.59630570804049
0.8,0.95,1.75,2,31.23,-6.61483396311191
0.8,0.95,1.75,2,31.24,-6.63320283996905
0.8,0.95,1.75,2,31.25,-6.65141603084835
0.8,0.95,1.75,2,31.26,-6.66947762814773
0.8,0.95,1.75,2,31.27,-6.68739213025729
0.8,0.95,1.75,2,31.28,-6.70516444725414
0.8,0.95,1.75,2,31.29,-6.7227999064908
0.8,0.95,1.75,2,31.3,-6.74030425811069
0.8,0.95,1.75,2,31.31,-6.75768368052809
0.8,0.95,1.75,2,31.32,-6.77494478591454
0.8,0.95,1.75,2,31.33,-6.79209462573789
0.8,0.95,1.75,2,31.34,-6.80914069640515
0.8,0.95,1.75,2,31.35,-6.82609094506526
0.8,0.95,1.75,2,31.36,-6.84295377563348
0.8,0.95,1.75,2,31.37,-6.85973805510438
0.8,0.95,1.75,2,31.38,-6.87645312022692
0.8,0.95,1.75,2,31.39,-6.89310878462173
0.8,0.95,1.75,2,31.4,-6.90971534642724
0.8,0.95,1.75,2,31.41,-6.92628359656983
0.8,0.95,1.75,2,31.42,-6.94282482776066
0.8,0.95,1.75,2,31.43,-6.95935084433191
0.8,0.95,1.75,2,31.44,-6.97587397303424
0.8,0.95,1.75,2,31.45,-6.99240707492927
0.8,0.95,1.75,2,31.46,-7.00896355852239
0.8,0.95,1.75,2,31.47,-7.02555739429526
0.8,0.95,1.75,2,31.48,-7.04220313081221
0.8,0.95,1.75,2,31.49,-7.05891591259176
0.8,0.95,1.75,2,31.5,-7.07571149995345
0.8,0.95,1.75,2,31.51,-7.09260629107119
0.8,0.95,1.75,2,31.52,-7.10961734648823
0.8,0.95,1.75,2,31.53,-7.12676241637613
0.8,0.95,1.75,2,31.54,-7.14405997085011
0.8,0.95,1.75,2,31.55,-7.16152923368769
0.8,0.95,1.75,2,31.56,-7.1791902198368
0.8,0.95,1.75,2,31.57,-7.19706377714381
0.8,0.95,1.75,2,31.58,-7.21517163278214
0.8,0.95,1.75,2,31.59,-7.23353644492027
0.8,0.95,1.75,2,31.6,-7.25218186023303
0.8,0.95,1.75,2,31.61,-7.27113257793539
0.8,0.95,1.75,2,31.62,-7.29041442110403
0.8,0.95,1.75,2,31.63,-7.3100544161502
0.8,0.95,1.75,2,31.64,-7.33008088142071
0.8,0.95,1.75,2,31.65,-7.35052352603356
0.8,0.95,1.75,2,31.66,-7.37141356020483
0.8,0.95,1.75,2,31.67,-7.39278381849551
0.8,0.95,1.75,2,31.68,-7.41466889760647
0.8,0.95,1.75,2,31.69,-7.43710531057989
0.8,0.95,1.75,2,31.7,-7.46013165953216
0.8,0.95,1.75,2,31.71,-7.48378882935256
0.8,0.95,1.75,2,31.72,-7.50812020516103
0.8,0.95,1.75,2,31.73,-7.53317191673591
0.8,0.95,1.75,2,31.74,-7.55899311360862
0.8,0.95,1.75,2,31.75,-7.58563627509016
0.8,0.95,1.75,2,31.76,-7.6131575601556
0.8,0.95,1.75,2,31.77,-7.6416172028881
0.8,0.95,1.75,2,31.78,-7.67107996009112
0.8,0.95,1.75,2,31.79,-7.70161561874023
0.8,0.95,1.75,2,31.8,-7.7332995721947
0.8,0.95,1.75,2,31.81,-7.76621347555554
0.8,0.95,1.75,2,31.82,-7.80044599228093
0.8,0.95,1.75,2,31.83,-7.83609364619947
0.8,0.95,1.75,2,31.84,-7.87326179545128
0.8,0.95,1.75,2,31.85,-7.91206574769947
0.8,0.95,1.75,2,31.86,-7.95263203926736
0.8,0.95,1.75,2,31.87,-7.99509990475322
0.8,0.95,1.75,2,31.88,-8.0396229682533
0.8,0.95,1.75,2,31.89,-8.08637119269488
0.8,0.95,1.75,2,31.9,-8.13553313006157
0.8,0.95,1.75,2,31.91,-8.18731852260778
0.8,0.95,1.75,2,31.92,-8.24196131362983
0.8,0.95,1.75,2,31.93,-8.29972313608875
0.8,0.95,1.75,2,31.94,-8.36089735842954
0.8,0.95,1.75,2,31.95,-8.42581377928939
0.8,0.95,1.75,2,31.96,-8.49484407626827
0.8,0.95,1.75,2,31.97,-8.56840812813462
0.8,0.95,1.75,2,31.98,-8.64698134394146
0.8,0.95,1.75,2,31.99,-8.7311031450711
0.8,0.95,1.75,2,32,-8.82138675474221
0.8,0.95,1.75,2,32.01,-8.91853044995715
0.8,0.95,1.75,2,32.02,-9.02333041679423
0.8,0.95,1.75,2,32.03,-9.13669531123437
0.8,0.95,1.75,2,32.04,-9.2596625486854
0.8,0.95,1.75,2,32.05,-9.39341620203339
0.8,0.95,1.75,2,32.06,-9.53930614401648
0.8,0.95,1.75,2,32.07,-9.69886767032342
0.8,0.95,1.75,2,32.08,-9.87384020374965
0.8,0.95,1.75,2,32.09,-10.0661826874129
0.8,0.95,1.75,2,32.1,-10.2780817530369
0.8,0.95,1.75,2,32.11,-10.5119464521232
0.8,0.95,1.75,2,32.12,-10.7703799232231
0.8,0.95,1.75,2,32.13,-11.0561133910856
0.8,0.95,1.75,2,32.14,-11.3718808226033
0.8,0.95,1.75,2,32.15,-11.7202029098277
0.8,0.95,1.75,2,32.16,-12.1030367516566
0.8,0.95,1.75,2,32.17,-12.5212340527002
0.8,0.95,1.75,2,32.18,-12.9737410662246
0.8,0.95,1.75,2,32.19,-13.4564818095817
0.8,0.95,1.75,2,32.2,-13.9609231070474
0.8,0.95,1.75,2,32.21,-14.472481286303
0.8,0.95,1.75,2,32.22,-14.9692635258785
0.8,0.95,1.75,2,32.23,-15.4221364521786
0.8,0.95,1.75,2,32.24,-15.797490514469
0.8,0.95,1.75,2,32.25,-16.0635656507981
0.8,0.95,1.75,2,32.26,-16.1991110032933
0.8,0.95,1.75,2,32.27,-16.2003993334293
0.8,0.95,1.75,2,32.28,-16.0822750188621
0.8,0.95,1.75,2,32.29,-15.8725702316609
0.8,0.95,1.75,2,32.3,-15.6035540968624
0.8,0.95,1.75,2,32.31,-15.3048362590625
0.8,0.95,1.75,2,32.32,-14.9997103226877
0.8,0.95,1.75,2,32.33,-14.7044724522889
0.8,0.95,1.75,2,32.34,-14.4293719208888
0.8,0.95,1.75,2,32.35,-14.1800868093985
0.8,0.95,1.75,2,32.36,-13.9591286521362
0.8,0.95,1.75,2,32.37,-13.766959230939
0.8,0.95,1.75,2,32.38,-13.6027978703741
0.8,0.95,1.75,2,32.39,-13.465171152216
0.8,0.95,1.75,2,32.4,-13.3522711629393
0.8,0.95,1.75,2,32.41,-13.2621800151218
0.8,0.95,1.75,2,32.42,-13.1930045760444
0.8,0.95,1.75,2,32.43,-13.1429526019202
0.8,0.95,1.75,2,32.44,-13.1103715673523
0.8,0.95,1.75,2,32.45,-13.093764350136
0.8,0.95,1.75,2,32.46,-13.0917910152685
0.8,0.95,1.75,2,32.47,-13.1032626370984
0.8,0.95,1.75,2,32.48,-13.1271309134452
0.8,0.95,1.75,2,32.49,-13.1624758982387
0.8,0.95,1.75,2,32.5,-13.2084932564893
0.8,0.95,1.75,2,32.51,-13.2644818549939
0.8,0.95,1.75,2,32.52,-13.329832128938
0.8,0.95,1.75,2,32.53,-13.4040154322658
0.8,0.95,1.75,2,32.54,-13.4865744382625
0.8,0.95,1.75,2,32.55,-13.5771145734513
0.8,0.95,1.75,2,32.56,-13.675296421287
0.8,0.95,1.75,2,32.57,-13.7808290083983
0.8,0.95,1.75,2,32.58,-13.8934638762761
0.8,0.95,1.75,2,32.59,-14.0129898396313
0.8,0.95,1.75,2,32.6,-14.1392283354191
0.8,0.95,1.75,2,32.61,-14.2720292714401
0.8,0.95,1.75,2,32.62,-14.411267289029
0.8,0.95,1.75,2,32.63,-14.5568383596952
0.8,0.95,1.75,2,32.64,-14.7086566401532
0.8,0.95,1.75,2,32.65,-14.866651513616
0.8,0.95,1.75,2,32.66,-15.0307647473148
0.8,0.95,1.75,2,32.67,-15.2009476968099
0.8,0.95,1.75,2,32.68,-15.3771584866713
0.8,0.95,1.75,2,32.69,-15.5593590944464
0.8,0.95,1.75,2,32.7,-15.7475122604431
0.8,0.95,1.75,2,32.71,-15.9415781396681
0.8,0.95,1.75,2,32.72,-16.1415106042726
0.8,0.95,1.75,2,32.73,-16.3472530950948
0.8,0.95,1.75,2,32.74,-16.5587339095132
0.8,0.95,1.75,2,32.75,-16.7758608001221
0.8,0.95,1.75,2,32.76,-16.9985147453331
0.8,0.95,1.75,2,32.77,-17.2265427398734
0.8,0.95,1.75,2,32.78,-17.459749441886
0.8,0.95,1.75,2,32.79,-17.6978875064585
0.8,0.95,1.75,2,32.8,-17.9406464365364
0.8,0.95,1.75,2,32.81,-18.1876397966692
0.8,0.95,1.75,2,32.82,-18.438390670256
0.8,0.95,1.75,2,32.83,-18.6923153068951
0.8,0.95,1.75,2,32.84,-18.9487050159701
0.8,0.95,1.75,2,32.85,-19.2067065315314
0.8,0.95,1.75,2,32.86,-19.4653013197209
0.8,0.95,1.75,2,32.87,-19.7232846412786
0.8,0.95,1.75,2,32.88,-19.9792456313692
0.8,0.95,1.75,2,32.89,-20.2315502184145
0.8,0.95,1.75,2,32.9,-20.4783293506715
0.8,0.95,1.75,2,32.91,-20.7174756733719
0.8,0.95,1.75,2,32.92,-20.9466523849321
0.8,0.95,1.75,2,32.93,-21.1633183162349
0.8,0.95,1.75,2,32.94,-21.3647730776398
0.8,0.95,1.75,2,32.95,-21.5482251302676
0.8,0.95,1.75,2,32.96,-21.710883634088
0.8,0.95,1.75,2,32.97,-21.8500718447129
0.8,0.95,1.75,2,32.98,-21.9633559160024
0.8,0.95,1.75,2,32.99,-22.0486788540334
0.8,0.95,1.75,2,33,-22.1044860543677
0.8,0.95,1.75,2,33.01,-22.129827460861
0.8,0.95,1.75,2,33.02,-22.1244227615057
0.8,0.95,1.75,2,33.03,-22.0886803449234
0.8,0.95,1.75,2,33.04,-22.0236672316369
0.8,0.95,1.75,2,33.05,-21.9310343654935
0.8,0.95,1.75,2,33.06,-21.8129077552301
0.8,0.95,1.75,2,33.07,-21.6717596296014
0.8,0.95,1.75,2,33.08,-21.510274471244
0.8,0.95,1.75,2,33.09,-21.3312228717865
0.8,0.95,1.75,2,33.1,-21.1373525559037
0.8,0.95,1.75,2,33.11,-20.9313017784427
0.8,0.95,1.75,2,33.12,-20.7155365326377
0.8,0.95,1.75,2,33.13,-20.4923101635709
0.8,0.95,1.75,2,33.14,-20.2636422218034
0.8,0.95,1.75,2,33.15,-20.0313126068257
0.8,0.95,1.75,2,33.16,-19.796866991683
0.8,0.95,1.75,2,33.17,-19.561629916548
0.8,0.95,1.75,2,33.18,-19.3267225581974
0.8,0.95,1.75,2,33.19,-19.0930828580192
0.8,0.95,1.75,2,33.2,-18.861486321744
0.8,0.95,1.75,2,33.21,-18.6325663391877
0.8,0.95,1.75,2,33.22,-18.4068332962877
0.8,0.95,1.75,2,33.23,-18.1846920695777
0.8,0.95,1.75,2,33.24,-17.9664577197987
0.8,0.95,1.75,2,33.25,-17.7523693547502
0.8,0.95,1.75,2,33.26,-17.5426022292511
0.8,0.95,1.75,2,33.27,-17.3372782073656
0.8,0.95,1.75,2,33.28,-17.1364747410579
0.8,0.95,1.75,2,33.29,-16.9402325294927
0.8,0.95,1.75,2,33.3,-16.7485620211723
0.8,0.95,1.75,2,33.31,-16.5614489118647
0.8,0.95,1.75,2,33.32,-16.3788587781738
0.8,0.95,1.75,2,33.33,-16.2007409718672
0.8,0.95,1.75,2,33.34,-16.0270318851141
0.8,0.95,1.75,2,33.35,-15.8576576824613
0.8,0.95,1.75,2,33.36,-15.6925365821428
0.8,0.95,1.75,2,33.37,-15.5315807574226
0.8,0.95,1.75,2,33.38,-15.374697918147
0.8,0.95,1.75,2,33.39,-15.2217926235174
0.8,0.95,1.75,2,33.4,-15.0727673691712
0.8,0.95,1.75,2,33.41,-14.9275234848903
0.8,0.95,1.75,2,33.42,-14.7859618734801
0.8,0.95,1.75,2,33.43,-14.6479836164783
0.8,0.95,1.75,2,33.44,-14.51349046823
0.8,0.95,1.75,2,33.45,-14.382385256391
0.8,0.95,1.75,2,33.46,-14.2545722040113
0.8,0.95,1.75,2,33.47,-14.1299571859044
0.8,0.95,1.75,2,33.48,-14.0084479299647
0.8,0.95,1.75,2,33.49,-13.8899541723846
0.8,0.95,1.75,2,33.5,-13.7743877742876
0.8,0.95,1.75,2,33.51,-13.6616628061026
0.8,0.95,1.75,2,33.52,-13.5516956049985
0.8,0.95,1.75,2,33.53,-13.4444048098632
0.8,0.95,1.75,2,33.54,-13.339711377608
0.8,0.95,1.75,2,33.55,-13.2375385839891
0.8,0.95,1.75,2,33.56,-13.1378120116485
0.8,0.95,1.75,2,33.57,-13.0404595276526
0.8,0.95,1.75,2,33.58,-12.9454112524677
0.8,0.95,1.75,2,33.59,-12.8525995220072
0.8,0.95,1.75,2,33.6,-12.7619588441421
0.8,0.95,1.75,2,33.61,-12.6734258508521
0.8,0.95,1.75,2,33.62,-12.5869392470158
0.8,0.95,1.75,2,33.63,-12.5024397566881
0.8,0.95,1.75,2,33.64,-12.4198700675797
0.8,0.95,1.75,2,33.65,-12.3391747743448
0.8,0.95,1.75,2,33.66,-12.2603003211885
0.8,0.95,1.75,2,33.67,-12.1831949442233
0.8,0.95,1.75,2,33.68,-12.1078086139333
0.8,0.95,1.75,2,33.69,-12.0340929780478
0.8,0.95,1.75,2,33.7,-11.9620013050725
0.8,0.95,1.75,2,33.71,-11.8914884286811
0.8,0.95,1.75,2,33.72,-11.8225106931352
0.8,0.95,1.75,2,33.73,-11.7550258998649
0.8,0.95,1.75,2,33.74,-11.6889932553164
0.8,0.95,1.75,2,33.75,-11.6243733201455
0.8,0.95,1.75,2,33.76,-11.5611279598205
0.8,0.95,1.75,2,33.77,-11.4992202966741
0.8,0.95,1.75,2,33.78,-11.4386146634336
0.8,0.95,1.75,2,33.79,-11.3792765582434
0.8,0.95,1.75,2,33.8,-11.3211726011842
0.8,0.95,1.75,2,33.81,-11.2642704922814
0.8,0.95,1.75,2,33.82,-11.2085389709928
0.8,0.95,1.75,2,33.83,-11.153947777153
0.8,0.95,1.75,2,33.84,-11.1004676133522
0.8,0.95,1.75,2,33.85,-11.0480701087178
0.8,0.95,1.75,2,33.86,-10.9967277840694
0.8,0.95,1.75,2,33.87,-10.9464140184093
0.8,0.95,1.75,2,33.88,-10.8971030167134
0.8,0.95,1.75,2,33.89,-10.8487697789825
0.8,0.95,1.75,2,33.9,-10.8013900705147
0.8,0.95,1.75,2,33.91,-10.7549403933601
0.8,0.95,1.75,2,33.92,-10.7093979589138
0.8,0.95,1.75,2,33.93,-10.6647406616111
0.8,0.95,1.75,2,33.94,-10.620947053681
0.8,0.95,1.75,2,33.95,-10.5779963209195
0.8,0.95,1.75,2,33.96,-10.5358682594449
0.8,0.95,1.75,2,33.97,-10.4945432533939
0.8,0.95,1.75,2,33.98,-10.4540022535232
0.8,0.95,1.75,2,33.99,-10.4142267566792
0.8,0.95,1.75,2,34,-10.3751987861003
0.8,0.95,1.75,2,34.01,-10.3369008725176
0.8,0.95,1.75,2,34.02,-10.2993160360198
0.8,0.95,1.75,2,34.03,-10.2624277686516
0.8,0.95,1.75,2,34.04,-10.2262200177129
0.8,0.95,1.75,2,34.05,-10.1906771697301
0.8,0.95,1.75,2,34.06,-10.1557840350701
0.8,0.95,1.75,2,34.07,-10.1215258331695
0.8,0.95,1.75,2,34.08,-10.0878881783524
0.8,0.95,1.75,2,34.09,-10.0548570662119
0.8,0.95,1.75,2,34.1,-10.0224188605297
0.8,0.95,1.75,2,34.11,-9.99056028071235
0.8,0.95,1.75,2,34.12,-9.95926838971944
0.8,0.95,1.75,2,34.13,-9.92853058246486
0.8,0.95,1.75,2,34.14,-9.89833457466874
0.8,0.95,1.75,2,34.15,-9.86866839214199
0.8,0.95,1.75,2,34.16,-9.83952036048379
0.8,0.95,1.75,2,34.17,-9.81087909517524
0.8,0.95,1.75,2,34.18,-9.78273349205114
0.8,0.95,1.75,2,34.19,-9.75507271813497
0.8,0.95,1.75,2,34.2,-9.72788620282057
0.8,0.95,1.75,2,34.21,-9.70116362938641
0.8,0.95,1.75,2,34.22,-9.67489492682849
0.8,0.95,1.75,2,34.23,-9.64907026199806
0.8,0.95,1.75,2,34.24,-9.6236800320318
0.8,0.95,1.75,2,34.25,-9.59871485706228
0.8,0.95,1.75,2,34.26,-9.57416557319704
0.8,0.95,1.75,2,34.27,-9.55002322575532
0.8,0.95,1.75,2,34.28,-9.52627906275183
0.8,0.95,1.75,2,34.29,-9.50292452861787
0.8,0.95,1.75,2,34.3,-9.47995125814972
0.8,0.95,1.75,2,34.31,-9.45735107067584
0.8,0.95,1.75,2,34.32,-9.4351159644337
0.8,0.95,1.75,2,34.33,-9.41323811114821
0.8,0.95,1.75,2,34.34,-9.39170985080395
0.8,0.95,1.75,2,34.35,-9.37052368660347
0.8,0.95,1.75,2,34.36,-9.34967228010468
0.8,0.95,1.75,2,34.37,-9.32914844653045
0.8,0.95,1.75,2,34.38,-9.30894515024404
0.8,0.95,1.75,2,34.39,-9.28905550038365
0.8,0.95,1.75,2,34.4,-9.26947274665111
0.8,0.95,1.75,2,34.41,-9.25019027524808
0.8,0.95,1.75,2,34.42,-9.23120160495504
0.8,0.95,1.75,2,34.43,-9.21250038334747
0.8,0.95,1.75,2,34.44,-9.19408038314486
0.8,0.95,1.75,2,34.45,-9.17593549868729
0.8,0.95,1.75,2,34.46,-9.15805974253543
0.8,0.95,1.75,2,34.47,-9.14044724218973
0.8,0.95,1.75,2,34.48,-9.12309223692455
0.8,0.95,1.75,2,34.49,-9.10598907473336
0.8,0.95,1.75,2,34.5,-9.08913220938148
0.8,0.95,1.75,2,34.51,-9.07251619756261
0.8,0.95,1.75,2,34.52,-9.0561356961557
0.8,0.95,1.75,2,34.53,-9.03998545957931
0.8,0.95,1.75,2,34.54,-9.02406033723972
0.8,0.95,1.75,2,34.55,-9.00835527107041
0.8,0.95,1.75,2,34.56,-8.99286529315981
0.8,0.95,1.75,2,34.57,-8.97758552346452
0.8,0.95,1.75,2,34.58,-8.96251116760547
0.8,0.95,1.75,2,34.59,-8.94763751474476
0.8,0.95,1.75,2,34.6,-8.9329599355403
0.8,0.95,1.75,2,34.61,-8.91847388017643
0.8,0.95,1.75,2,34.62,-8.90417487646806
0.8,0.95,1.75,2,34.63,-8.89005852803625
0.8,0.95,1.75,2,34.64,-8.87612051255337
0.8,0.95,1.75,2,34.65,-8.86235658005561
0.8,0.95,1.75,2,34.66,-8.84876255132133
0.8,0.95,1.75,2,34.67,-8.8353343163131
0.8,0.95,1.75,2,34.68,-8.82206783268192
0.8,0.95,1.75,2,34.69,-8.80895912433193
0.8,0.95,1.75,2,34.7,-8.79600428004407
0.8,0.95,1.75,2,34.71,-8.7831994521568
0.8,0.95,1.75,2,34.72,-8.77054085530294
0.8,0.95,1.75,2,34.73,-8.75802476520077
0.8,0.95,1.75,2,34.74,-8.74564751749805
0.8,0.95,1.75,2,34.75,-8.73340550666788
0.8,0.95,1.75,2,34.76,-8.72129518495474
0.8,0.95,1.75,2,34.77,-8.70931306136971
0.8,0.95,1.75,2,34.78,-8.69745570073351
0.8,0.95,1.75,2,34.79,-8.68571972276608
0.8,0.95,1.75,2,34.8,-8.6741018012219
0.8,0.95,1.75,2,34.81,-8.66259866306951
0.8,0.95,1.75,2,34.82,-8.65120708771408
0.8,0.95,1.75,2,34.83,-8.63992390626262
0.8,0.95,1.75,2,34.84,-8.62874600082979
0.8,0.95,1.75,2,34.85,-8.61767030388413
0.8,0.95,1.75,2,34.86,-8.60669379763299
0.8,0.95,1.75,2,34.87,-8.59581351344589
0.8,0.95,1.75,2,34.88,-8.58502653131447
0.8,0.95,1.75,2,34.89,-8.57432997934881
0.8,0.95,1.75,2,34.9,-8.56372103330873
0.8,0.95,1.75,2,34.91,-8.55319691616919
0.8,0.95,1.75,2,34.92,-8.54275489771884
0.8,0.95,1.75,2,34.93,-8.53239229419092
0.8,0.95,1.75,2,34.94,-8.5221064679253
0.8,0.95,1.75,2,34.95,-8.51189482706099
0.8,0.95,1.75,2,34.96,-8.50175482525793
0.8,0.95,1.75,2,34.97,-8.49168396144752
0.8,0.95,1.75,2,34.98,-8.48167977961039
0.8,0.95,1.75,2,34.99,-8.47173986858105
0.8,0.95,1.75,2,35,-8.46186186187805
0.8,0.95,1.75,2,35.01,-8.45204343755909
0.8,0.95,1.75,2,35.02,-8.44228231809976
0.8,0.95,1.75,2,35.03,-8.43257627029522
0.8,0.95,1.75,2,35.04,-8.42292310518386
0.8,0.95,1.75,2,35.05,-8.41332067799181
0.8,0.95,1.75,2,35.06,-8.40376688809758
0.8,0.95,1.75,2,35.07,-8.39425967901564
0.8,0.95,1.75,2,35.08,-8.38479703839812
0.8,0.95,1.75,2,35.09,-8.37537699805351
0.8,0.95,1.75,2,35.1,-8.36599763398162
0.8,0.95,1.75,2,35.11,-8.35665706642343
0.8,0.95,1.75,2,35.12,-8.34735345992522
0.8,0.95,1.75,2,35.13,-8.3380850234156
0.8,0.95,1.75,2,35.14,-8.32885001029475
0.8,0.95,1.75,2,35.15,-8.31964671853464
0.8,0.95,1.75,2,35.16,-8.3104734907892
0.8,0.95,1.75,2,35.17,-8.30132871451356
0.8,0.95,1.75,2,35.18,-8.29221082209107
0.8,0.95,1.75,2,35.19,-8.28311829096734
0.8,0.95,1.75,2,35.2,-8.27404964378994
0.8,0.95,1.75,2,35.21,-8.2650034485529
0.8,0.95,1.75,2,35.22,-8.25597831874494
0.8,0.95,1.75,2,35.23,-8.24697291350034
0.8,0.95,1.75,2,35.24,-8.23798593775111
0.8,0.95,1.75,2,35.25,-8.22901614238001
0.8,0.95,1.75,2,35.26,-8.2200623243727
0.8,0.95,1.75,2,35.27,-8.21112332696837
0.8,0.95,1.75,2,35.28,-8.20219803980757
0.8,0.95,1.75,2,35.29,-8.19328539907632
0.8,0.95,1.75,2,35.3,-8.18438438764544
0.8,0.95,1.75,2,35.31,-8.17549403520382
0.8,0.95,1.75,2,35.32,-8.16661341838495
0.8,0.95,1.75,2,35.33,-8.15774166088545
0.8,0.95,1.75,2,35.34,-8.14887793357464
0.8,0.95,1.75,2,35.35,-8.1400214545941
0.8,0.95,1.75,2,35.36,-8.13117148944638
0.8,0.95,1.75,2,35.37,-8.1223273510717
0.8,0.95,1.75,2,35.38,-8.11348839991184
0.8,0.95,1.75,2,35.39,-8.10465404396018
0.8,0.95,1.75,2,35.4,-8.09582373879705
0.8,0.95,1.75,2,35.41,-8.08699698760947
0.8,0.95,1.75,2,35.42,-8.07817334119449
0.8,0.95,1.75,2,35.43,-8.06935239794509
0.8,0.95,1.75,2,35.44,-8.06053380381812
0.8,0.95,1.75,2,35.45,-8.05171725228339
0.8,0.95,1.75,2,35.46,-8.04290248425296
0.8,0.95,1.75,2,35.47,-8.03408928799031
0.8,0.95,1.75,2,35.48,-8.02527749899846
0.8,0.95,1.75,2,35.49,-8.0164669998864
0.8,0.95,1.75,2,35.5,-8.00765772021343
0.8,0.95,1.75,2,35.51,-7.99884963631069
0.8,0.95,1.75,2,35.52,-7.99004277107932
0.8,0.95,1.75,2,35.53,-7.98123719376505
0.8,0.95,1.75,2,35.54,-7.97243301970849
0.8,0.95,1.75,2,35.55,-7.963630410071
0.8,0.95,1.75,2,35.56,-7.95482957153559
0.8,0.95,1.75,2,35.57,-7.94603075598273
0.8,0.95,1.75,2,35.58,-7.93723426014088
0.8,0.95,1.75,2,35.59,-7.92844042521125
0.8,0.95,1.75,2,35.6,-7.91964963646715
0.8,0.95,1.75,2,35.61,-7.91086232282735
0.8,0.95,1.75,2,35.62,-7.90207895640388
0.8,0.95,1.75,2,35.63,-7.89330005202388
0.8,0.95,1.75,2,35.64,-7.88452616672596
0.8,0.95,1.75,2,35.65,-7.87575789923087
0.8,0.95,1.75,2,35.66,-7.86699588938701
0.8,0.95,1.75,2,35.67,-7.85824081759066
0.8,0.95,1.75,2,35.68,-7.84949340418152
0.8,0.95,1.75,2,35.69,-7.84075440881368
0.8,0.95,1.75,2,35.7,-7.83202462980272
0.8,0.95,1.75,2,35.71,-7.82330490344888
0.8,0.95,1.75,2,35.72,-7.81459610333748
0.8,0.95,1.75,2,35.73,-7.8058991396164
0.8,0.95,1.75,2,35.74,-7.7972149582519
0.8,0.95,1.75,2,35.75,-7.78854454026289
0.8,0.95,1.75,2,35.76,-7.77988890093467
0.8,0.95,1.75,2,35.77,-7.77124908901269
0.8,0.95,1.75,2,35.78,-7.76262618587719
0.8,0.95,1.75,2,35.79,-7.75402130469964
0.8,0.95,1.75,2,35.8,-7.74543558958148
0.8,0.95,1.75,2,35.81,-7.7368702146765
0.8,0.95,1.75,2,35.82,-7.72832638329749
0.8,0.95,1.75,2,35.83,-7.71980532700821
0.8,0.95,1.75,2,35.84,-7.7113083047017
0.8,0.95,1.75,2,35.85,-7.70283660166594
0.8,0.95,1.75,2,35.86,-7.69439152863781
0.8,0.95,1.75,2,35.87,-7.68597442084666
0.8,0.95,1.75,2,35.88,-7.67758663704827
0.8,0.95,1.75,2,35.89,-7.66922955855058
0.8,0.95,1.75,2,35.9,-7.66090458823222
0.8,0.95,1.75,2,35.91,-7.65261314955496
0.8,0.95,1.75,2,35.92,-7.64435668557122
0.8,0.95,1.75,2,35.93,-7.63613665792794
0.8,0.95,1.75,2,35.94,-7.62795454586774
0.8,0.95,1.75,2,35.95,-7.619811845229
0.8,0.95,1.75,2,35.96,-7.61171006744528
0.8,0.95,1.75,2,35.97,-7.60365073854613
0.8,0.95,1.75,2,35.98,-7.59563539815978
0.8,0.95,1.75,2,35.99,-7.58766559851929
0.8,0.95,1.75,2,36,-7.57974290347301
0.8,0.95,1.75,2,36.01,-7.57186888750082
0.8,0.95,1.75,2,36.02,-7.56404513473694
0.8,0.95,1.75,2,36.03,-7.55627323800074
0.8,0.95,1.75,2,36.04,-7.54855479783638
0.8,0.95,1.75,2,36.05,-7.54089142156254
0.8,0.95,1.75,2,36.06,-7.53328472233327
0.8,0.95,1.75,2,36.07,-7.52573631821083
0.8,0.95,1.75,2,36.08,-7.5182478312517
0.8,0.95,1.75,2,36.09,-7.51082088660675
0.8,0.95,1.75,2,36.1,-7.50345711163636
0.8,0.95,1.75,2,36.11,-7.49615813504136
0.8,0.95,1.75,2,36.12,-7.48892558601111
0.8,0.95,1.75,2,36.13,-7.48176109338894
0.8,0.95,1.75,2,36.14,-7.47466628485613
0.8,0.95,1.75,2,36.15,-7.46764278613525
0.8,0.95,1.75,2,36.16,-7.46069222021345
0.8,0.95,1.75,2,36.17,-7.45381620658617
0.8,0.95,1.75,2,36.18,-7.44701636052255
0.8,0.95,1.75,2,36.19,-7.44029429235248
0.8,0.95,1.75,2,36.2,-7.43365160677632
0.8,0.95,1.75,2,36.21,-7.42708990219758
0.8,0.95,1.75,2,36.22,-7.4206107700791
0.8,0.95,1.75,2,36.23,-7.41421579432336
0.8,0.95,1.75,2,36.24,-7.40790655067687
0.8,0.95,1.75,2,36.25,-7.40168460615962
0.8,0.95,1.75,2,36.26,-7.39555151851935
0.8,0.95,1.75,2,36.27,-7.38950883571121
0.8,0.95,1.75,2,36.28,-7.38355809540305
0.8,0.95,1.75,2,36.29,-7.37770082450632
0.8,0.95,1.75,2,36.3,-7.37193853873303
0.8,0.95,1.75,2,36.31,-7.36627274217865
0.8,0.95,1.75,2,36.32,-7.36070492693102
0.8,0.95,1.75,2,36.33,-7.35523657270555
