iter	Passed	Remaining
328	553	1129
329	555	1127
330	557	1125
331	558	1124
332	560	1122
333	561	1120
334	563	1118
335	565	1117
336	566	1115
337	568	1113
338	570	1111
339	571	1110
340	573	1108
341	575	1106
342	576	1104
343	578	1102
344	579	1100
345	581	1099
346	583	1097
347	584	1095
348	586	1094
349	588	1092
350	589	1090
351	591	1088
352	593	1086
353	594	1085
354	596	1083
355	597	1081
356	599	1080
357	601	1078
358	602	1076
359	604	1074
360	606	1072
361	607	1071
362	609	1069
363	610	1067
364	612	1065
365	614	1064
366	615	1062
367	617	1060
368	619	1058
369	620	1057
370	622	1055
371	624	1053
372	625	1052
373	627	1051
374	629	1049
375	631	1048
376	633	1046
377	634	1044
378	636	1043
379	638	1041
380	639	1039
381	641	1038
382	643	1036
383	645	1035
384	646	1033
385	648	1031
386	650	1030
387	652	1028
388	653	1026
389	655	1025
390	657	1023
391	658	1022
392	660	1020
393	662	1018
394	664	1017
395	666	1015
396	667	1014
397	669	1012
398	671	1010
399	672	1009
400	674	1007
401	676	1006
402	678	1004
403	679	1002
404	681	1001
405	683	999
406	684	998
407	686	996
408	688	994
409	690	993
410	691	991
411	693	989
412	695	988
413	697	986
414	698	985
415	700	983
416	702	981
417	703	980
418	705	978
419	707	976
420	709	975
421	710	973
422	712	972
423	714	970
424	716	968
425	717	967
426	719	966
427	721	964
428	723	963
429	725	961
430	727	960
431	729	958
432	731	957
433	733	956
434	734	954
435	736	952
436	738	951
437	740	950
438	742	948
439	743	946
440	745	944
441	747	943
442	748	941
443	750	939
444	752	938
445	753	936
446	755	934
447	757	932
448	758	931
449	760	929
450	761	927
451	763	925
452	765	924
453	767	923
454	769	921
455	771	920
456	772	918
457	774	916
458	776	914
459	777	913
460	779	911
461	781	909
462	783	908
463	784	906
464	786	904
465	787	902
466	789	901
467	791	899
468	792	897
469	794	895
470	796	894
471	797	892
472	799	890
473	801	889
474	802	887
475	804	885
476	806	883
477	807	882
478	809	880
479	811	878
480	812	876
481	814	875
482	815	873
483	817	871
484	819	869
485	820	868
486	822	866
487	824	865
488	826	863
489	827	861
490	829	859
491	831	858
492	832	856
493	834	854
494	836	853
495	837	851
496	839	849
497	841	847
498	842	846
499	844	844
500	845	842
501	847	840
502	849	838
503	850	837
504	852	835
505	854	834
506	855	832
507	857	830
508	859	828
509	860	827
510	862	825
511	864	823
512	865	821
513	868	821
514	870	819
515	871	817
516	873	816
517	875	814
518	876	812
519	878	810
520	879	809
521	881	807
522	884	807
523	886	805
524	888	803
525	889	801
526	891	800
527	893	798
528	894	796
529	896	795
530	898	793
531	900	792
532	902	790
533	904	789
534	906	787
535	907	785
536	909	784
537	911	782
538	912	780
539	914	778
540	916	777
541	917	775
542	919	773
543	921	772
544	922	770
545	924	768
546	925	766
547	927	765
548	929	763
549	930	761
550	932	759
551	934	758
552	935	756
553	937	754
554	939	752
555	940	751
556	942	749
557	944	747
558	945	746
559	947	744
560	948	742
561	950	740
562	952	739
563	953	737
564	955	735
565	957	733
566	958	732
567	960	730
568	961	728
569	963	726
570	965	725
571	966	723
572	968	721
573	970	719
574	971	718
575	973	716
576	974	714
577	976	712
578	978	711
579	979	709
580	981	707
581	983	706
582	984	704
583	986	702
584	987	700
585	989	699
586	991	697
587	992	695
588	994	693
589	996	692
590	997	690
591	999	688
592	1000	687
593	1002	685
594	1004	683
595	1005	681
596	1007	680
597	1009	678
598	1010	676
599	1012	674
600	1014	673
601	1015	671
602	1017	669
603	1018	668
604	1020	666
605	1022	664
606	1023	662
607	1025	661
608	1027	659
609	1028	657
610	1030	655
611	1031	654
612	1033	652
613	1035	650
614	1036	649
615	1038	647
616	1040	645
617	1041	643
618	1043	642
619	1044	640
620	1046	638
621	1048	637
622	1049	635
623	1051	633
624	1053	631
625	1054	630
626	1056	628
627	1058	626
628	1059	625
629	1061	623
630	1062	621
631	1064	619
632	1066	618
633	1068	616
634	1069	614
635	1071	613
636	1072	611
637	1074	609
638	1076	607
639	1077	606
640	1079	604
641	1080	602
642	1082	601
643	1084	599
644	1085	597
645	1087	595
646	1089	594
647	1090	592
648	1092	590
649	1094	589
650	1095	587
651	1097	585
652	1098	583
653	1100	582
654	1102	580
655	1103	578
656	1105	577
657	1106	575
658	1108	573
659	1110	572
660	1112	570
661	1113	568
662	1115	567
663	1117	565
664	1118	563
665	1120	561
666	1122	560
667	1123	558
668	1125	556
669	1126	555
670	1128	553
671	1130	551
672	1131	549
673	1133	548
674	1135	546
675	1136	544
676	1138	543
677	1140	541
678	1141	539
679	1143	538
680	1144	536
681	1146	534
682	1148	532
683	1149	531
684	1151	529
685	1153	527
686	1155	526
687	1157	524
688	1158	523
689	1160	521
690	1162	519
691	1163	517
692	1165	516
693	1167	514
694	1168	512
695	1170	511
696	1171	509
697	1173	507
698	1175	506
699	1176	504
700	1178	502
701	1180	501
702	1181	499
703	1183	497
704	1185	495
705	1186	494
706	1188	492
707	1190	490
708	1191	489
709	1193	487
710	1195	485
711	1196	484
712	1198	482
713	1199	480
714	1201	478
715	1203	477
716	1204	475
717	1206	473
718	1207	472
719	1209	470
720	1211	468
721	1212	466
722	1214	465
723	1216	463
724	1217	461
725	1219	460
726	1221	458
727	1222	456
728	1224	455
729	1226	453
730	1227	451
731	1229	450
732	1230	448
733	1232	446
734	1234	444
735	1235	443
736	1237	441
737	1239	439
738	1240	438
739	1242	436
740	1243	434
741	1245	433
742	1247	431
743	1248	429
744	1250	427
745	1252	426
746	1253	424
747	1255	422
748	1257	421
749	1258	419
750	1260	417
751	1261	416
752	1263	414
753	1265	412
754	1266	411
755	1268	409
756	1269	407
757	1271	405
758	1273	404
759	1274	402
760	1276	400
761	1278	399
762	1279	397
763	1281	395
764	1282	394
765	1284	392
766	1286	390
767	1287	389
768	1289	387
769	1291	385
770	1293	384
771	1295	382
772	1296	380
773	1298	379
774	1300	377
775	1301	375
776	1303	374
777	1304	372
778	1306	370
779	1308	368
780	1309	367
781	1311	365
782	1313	363
783	1314	362
784	1316	360
785	1318	358
786	1319	357
787	1321	355
788	1323	353
789	1324	352
790	1326	350
791	1328	348
792	1329	347
793	1331	345
794	1333	343
795	1335	342
796	1336	340
797	1338	338
798	1339	337
799	1341	335
800	1343	333
801	1344	331
802	1346	330
803	1348	328
804	1349	327
805	1351	325
806	1353	323
807	1354	321
808	1356	320
809	1358	318
810	1359	316
811	1361	315
812	1363	313
813	1365	311
814	1366	310
815	1368	308
816	1369	306
817	1371	305
818	1373	303
819	1374	301
820	1376	300
821	1378	298
822	1379	296
823	1381	295
824	1383	293
825	1384	291
826	1386	290
827	1388	288
828	1389	286
829	1391	284
830	1392	283
831	1394	281
832	1396	279
833	1397	278
834	1399	276
835	1401	274
836	1402	273
837	1404	271
838	1406	269
839	1407	268
840	1409	266
841	1411	264
842	1412	263
843	1414	261
844	1416	259
845	1417	258
846	1419	256
847	1421	254
848	1422	253
849	1424	251
850	1425	249
851	1427	247
852	1429	246
853	1430	244
854	1432	242
855	1434	241
856	1435	239
857	1437	237
858	1438	236
859	1440	234
860	1442	232
861	1443	231
862	1445	229
863	1447	227
864	1448	226
865	1450	224
866	1452	222
867	1453	221
868	1455	219
869	1457	217
870	1458	216
871	1460	214
872	1462	212
873	1463	211
874	1465	209
875	1467	207
876	1468	206
877	1470	204
878	1472	202
879	1473	200
880	1475	199
881	1477	197
882	1478	195
883	1480	194
884	1482	192
885	1483	190
886	1485	189
887	1486	187
888	1488	185
889	1490	184
890	1491	182
891	1493	180
892	1495	179
893	1496	177
894	1498	175
895	1500	174
896	1501	172
897	1503	170
898	1504	169
899	1506	167
900	1508	165
901	1509	164
902	1511	162
903	1513	160
904	1514	158
905	1516	157
906	1517	155
907	1519	153
908	1521	152
909	1522	150
910	1524	148
911	1526	147
912	1527	145
913	1529	143
914	1530	142
915	1532	140
916	1534	138
917	1535	137
918	1537	135
919	1539	133
920	1540	132
921	1542	130
922	1544	128
923	1546	127
924	1548	125
925	1549	123
926	1551	122
927	1553	120
928	1554	118
929	1556	117
930	1558	115
931	1559	113
932	1561	112
933	1563	110
934	1564	108
935	1566	107
936	1568	105
937	1569	103
938	1571	102
939	1573	100
940	1574	98
941	1576	97
942	1577	95
943	1579	93
944	1581	92
945	1582	90
946	1584	88
947	1586	87
948	1587	85
949	1589	83
950	1591	81
951	1592	80
952	1594	78
953	1596	76
954	1597	75
955	1599	73
956	1601	71
957	1603	70
958	1604	68
959	1606	66
960	1608	65
961	1609	63
962	1611	61
963	1613	60
964	1614	58
965	1616	56
966	1618	55
967	1619	53
968	1621	51
969	1623	50
970	1624	48
971	1626	46
972	1627	45
973	1629	43
974	1631	41
975	1632	40
976	1634	38
977	1636	36
978	1637	35
979	1639	33
980	1640	31
981	1642	30
982	1644	28
983	1645	26
984	1647	25
985	1648	23
986	1650	21
987	1652	20
988	1653	18
989	1655	16
990	1657	15
991	1658	13
992	1660	11
993	1662	10
994	1663	8
995	1665	6
996	1667	5
997	1668	3
998	1670	1
999	1672	0
